X,Y,rand_point,PhysID
405077.1652298,7402266.48000402,0,1
405223.582206207,7402224.5396227,1,1
403516.648151802,7401101.88601288,2,1
407040.179602637,7401468.04208365,3,1
407446.244792169,7400895.86453467,4,1
405843.961161381,7402256.101067,5,1
407083.450883034,7400320.57223709,6,1
405004.727678554,7402127.85056659,7,1
406869.278047457,7400174.8169292,8,1
405031.257227917,7401734.07017262,9,1
404123.092047654,7401119.74828204,10,1
403980.336249379,7400776.29100449,11,1
406682.852785509,7401399.37940683,12,1
407132.236708325,7399691.11682738,13,1
406568.799797869,7402415.9561618,14,1
403327.333662796,7400581.69523635,15,1
403407.797812714,7401114.02261406,16,1
406238.61284596,7399520.89643186,17,1
405952.803750169,7400724.3965839,18,1
406931.470916598,7402261.11351359,19,1
406955.318919604,7400554.35188847,20,1
404718.067150165,7401526.18176317,21,1
402612.13882293,7401532.78185484,22,1
406253.960799816,7400856.98250614,23,1
405476.806278915,7402062.01011065,24,1
405803.786652896,7402707.53498149,25,1
406298.850816484,7399623.35999111,26,1
406262.887191461,7400310.39904193,27,1
402472.879449544,7400290.53854639,28,1
405897.443802579,7400421.48352938,29,1
404910.04865206,7401700.49946639,30,1
405213.408440906,7402123.74587824,31,1
405411.590675464,7402637.04262527,32,1
402707.840944159,7400116.85673087,33,1
403653.998696356,7400809.94280098,34,1
403551.071880871,7400167.28627698,35,1
405758.832649642,7401883.88907436,36,1
405836.895982405,7402428.87995473,37,1
407810.312748373,7400029.38146372,38,1
403904.384640409,7401170.37275333,39,1
406230.880386956,7401949.31180974,40,1
404882.101613686,7400698.16027313,41,1
405423.275897546,7399711.08134953,42,1
403931.924636828,7400675.31257728,43,1
404802.457717761,7402270.67094777,44,1
404966.729317066,7401367.3779325,45,1
405885.463695407,7400011.16795521,46,1
403527.272140613,7400956.3225976,47,1
403642.057234006,7401047.34308226,48,1
406500.096491016,7399919.78544427,49,1
403746.539058564,7401269.47154815,50,1
405930.347865612,7399703.45751458,51,1
404466.836290409,7402242.67749357,52,1
403403.444956073,7400816.4454965,53,1
404092.519530946,7400884.84553219,54,1
407242.480271548,7400937.72332322,55,1
405293.253476258,7401654.73286789,56,1
403566.704993458,7400178.60646934,57,1
407297.001931652,7400234.44254912,58,1
405535.176801009,7401218.36100619,59,1
404096.835257121,7401635.62973808,60,1
407218.626412165,7400164.60216815,61,1
403708.898472435,7401416.80944476,62,1
406843.573379847,7402250.64030671,63,1
404262.647303097,7400242.64667925,64,1
404359.365549198,7402108.69121112,65,1
404166.125705897,7401133.6250718,66,1
407134.188158725,7401145.16173866,67,1
406682.940920076,7400151.74395024,68,1
406928.413395439,7401778.21549037,69,1
407523.142329627,7401416.86455848,70,1
402473.936506683,7400560.15018169,71,1
406290.761030019,7399808.65195735,72,1
406348.710281266,7400355.61123258,73,1
405613.135693799,7401099.79851662,74,1
402156.730781389,7400360.06160948,75,1
405439.870576802,7401235.96239898,76,1
405160.080126174,7401081.38386361,77,1
405923.065362088,7402477.15570469,78,1
402706.678461351,7401097.71187521,79,1
407288.299711079,7400729.16892377,80,1
405987.826419139,7402365.42144511,81,1
407482.808782426,7401779.35107426,82,1
405172.782037405,7400779.97909913,83,1
402766.717894659,7401361.85289378,84,1
405742.918642542,7402563.25587352,85,1
403644.337096975,7401407.53165748,86,1
405005.750451314,7402045.84632713,87,1
407578.832211548,7399801.57887298,88,1
403460.520381042,7401844.27868418,89,1
406013.963112638,7402942.02430308,90,1
403634.20078048,7401046.09701624,91,1
403666.380562995,7400026.40163164,92,1
404928.722266191,7401140.73263646,93,1
407187.936744575,7401091.53052723,94,1
403476.229982491,7400216.09595577,95,1
406415.160108546,7402364.62600007,96,1
406953.971320631,7400077.59849241,97,1
406264.300345628,7402350.24070847,98,1
405728.844919836,7401717.03425934,99,1
403296.864522882,7401364.36826774,100,1
407618.666252602,7399480.07100823,101,1
407545.792124601,7400959.19808053,102,1
405272.543389936,7400023.36095777,103,1
406674.690413033,7401870.64544966,104,1
404200.910259641,7400352.65060062,105,1
403392.879463622,7399945.64824305,106,1
407455.393280036,7401572.36094383,107,1
406766.000383899,7402674.58857467,108,1
406074.734754287,7400445.70130587,109,1
405186.085157279,7401658.73044174,110,1
404650.214032687,7400991.03999699,111,1
404524.185308294,7400518.90020552,112,1
403111.268821633,7401069.2551058,113,1
404872.224817506,7400840.98921297,114,1
403271.367894588,7401705.28529494,115,1
406170.453100749,7400408.04199244,116,1
405631.81353393,7402452.04889894,117,1
403673.257866996,7400081.35571275,118,1
405426.638113804,7401345.05213291,119,1
402044.712581179,7400257.14441508,120,1
406993.687714754,7399890.29336708,121,1
405192.421910582,7401448.8754914,122,1
406733.487450192,7401478.75737212,123,1
406645.650726535,7401399.08988835,124,1
402864.246249858,7399966.06664585,125,1
402921.520459235,7399989.53554683,126,1
406048.914451779,7400417.43539896,127,1
403152.567340983,7400938.12038687,128,1
406517.724796142,7400861.68090507,129,1
406518.204643459,7400913.26648204,130,1
407304.130197665,7400350.31514563,131,1
406886.656271936,7401952.78196041,132,1
405686.427183725,7399585.11280722,133,1
404624.673858635,7401645.15902848,134,1
404033.911781088,7400468.53873903,135,1
405818.573246541,7400514.08124133,136,1
405356.504139943,7402481.8553066,137,1
404820.684093971,7401989.70081598,138,1
404910.995233193,7400470.47886772,139,1
403817.506096377,7401389.05120438,140,1
403328.803420393,7401479.19964747,141,1
406999.274742016,7399747.43843557,142,1
406248.200110435,7400489.81419446,143,1
407597.765384723,7401292.4840559,144,1
406747.937484429,7399984.38442414,145,1
407004.592543803,7400343.8261857,146,1
402678.914271281,7401354.93554123,147,1
404771.409869019,7401590.63855946,148,1
407265.80066642,7399792.74362665,149,1
403771.639180045,7399884.61543586,150,1
407321.706494717,7400776.25729808,151,1
403131.731382495,7401776.2928568,152,1
404538.585312168,7400784.97826966,153,1
404186.015614081,7401371.84493912,154,1
404221.51403678,7400485.55874406,155,1
402591.645259863,7400203.32504758,156,1
405990.364540818,7401657.26219069,157,1
402919.434426262,7401421.97486705,158,1
404150.658903462,7401771.0322477,159,1
405427.473719364,7402361.38282274,160,1
407110.778144681,7401018.65231877,161,1
403576.623793129,7400979.37300952,162,1
407072.176882561,7399672.63058309,163,1
405665.699234089,7402126.5502472,164,1
407206.743622737,7401139.57839028,165,1
406646.685274955,7401796.07738723,166,1
407386.066266032,7401292.77876735,167,1
406436.277976686,7399924.73697871,168,1
404264.930217831,7400798.18431691,169,1
406663.908275415,7399785.39299628,170,1
403926.859740616,7400050.08586433,171,1
405792.669656694,7401022.32263491,172,1
407324.219887865,7401193.80559656,173,1
404971.253355434,7400988.19134099,174,1
